Matrícula;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;Final
GRR20152057;68;88;86;90;90;91;85;;;100;
GRR20152082;48;68;24;86;40;40;40;80;60;100;
GRR20130332;76;34;66;68;70;56;55;90;70;80;
GRR20158954;86;56;5;64;30;48;45;100;60;;9
GRR20151704;;30;30;74;60;36;75;70;70;100;
GRR20141513;63;78;78;82;40;56;55;60;;100;
GRR20155858;79;82;43;72;60;48;50;80;80;100;
GRR20157882;73;52;;60;10;48;65;70;40;;
GRR20151584;70;48;;70;20;44;45;40;50;80;13
GRR20158408;78;82;64;100;70;84;75;;;100;
GRR20152917;75;60;63;66;90;84;50;80;100;100;
GRR20145231;68;66;90;78;60;;;90;;80;
GRR20137411;;46;35;84;60;40;70;70;50;80;47
GRR20140726;71;56;87;88;50;66;55;70;80;100;
GRR20151260;80;30;32;70;60;64;60;110;70;100;
GRR20151297;72;46;;;;;;;;;
GRR20152670;54;40;28;66;;;;;;;
GRR20152787;64;70;92;82;60;80;65;100;90;100;
GRR20142738;;;;;;;;;;;
GRR20142928;78;88;91;96;70;76;90;100;80;;
GRR20157822;65;74;4;;30;52;60;10;80;;
GRR20142936;;;;;;;;;;;
GRR20153767;35;58;84;84;20;44;40;100;50;95;
GRR20113106;;;0;;;;;;;;
GRR20127314;52;;28;72;40;52;65;80;90;100;
GRR20132857;66;42;23;76;20;52;70;70;80;80;
GRR20141348;69;52;47;70;80;60;65;100;60;95;
GRR20132932;94;42;80;66;60;52;70;50;70;95;
GRR20135918;85;74;77;94;80;80;60;70;80;;
GRR20146982;80;88;92;86;70;76;70;;80;100;
GRR20154108;84;84;65;94;80;56;64;90;;;
GRR20153807;41;16;45;82;70;60;60;80;70;0;33
GRR20143886;77;44;24;66;30;36;55;;;;
GRR20159607;48;58;23;72;60;32;40;40;50;60;15
GRR20159933;62;84;66;88;70;44;25;50;80;100;
GRR20133825;72;34;18;68;60;48;40;50;60;;12
GRR20144018;92;88;92;72;80;;70;80;;95;
GRR20157747;29;36;;;;;;;;;
GRR20140076;84;56;71;100;30;76;55;60;50;90;
GRR20150593;72;44;81;96;60;44;75;70;80;100;
GRR20144489;70;48;83;74;10;44;50;100;50;80;
GRR20155146;61;56;9;58;50;52;75;80;70;80;
